p,invasion_steps,IP_elapsed_time,fraction_green,diffusion_steps,KD_elapsed_time,total_elapsed_time
0.33,25740,1.704,0.0433,20,0.164,1.898
0.43,26064,1.823,0.0538,19,0.18,2.031
0.52,24713,1.699,0.0725,23,0.236,1.964
0.62,18762,1.555,0.0856,41,0.503,2.087
0.71,15548,1.61,0.1036,51,0.537,2.175
0.81,15763,1.646,0.1183,51,0.565,2.24
0.9,12434,1.5,0.115,61,0.77,2.3
0.05,31074,1.593,0.0175,3,0.048,1.671
0.14,29600,1.727,0.0385,7,0.05,1.817
0.24,27073,1.727,0.0605,15,0.126,1.886
0.33,26555,1.784,0.0801,17,0.153,1.968
0.43,23892,1.73,0.1067,25,0.236,1.995
0.52,23516,1.723,0.1358,27,0.269,2.021
0.62,18739,1.54,0.1612,41,0.398,1.966
0.71,17605,1.624,0.2189,45,0.567,2.219
0.81,9776,1.433,0.1557,69,0.654,2.115
0.9,10716,1.408,0.2102,67,0.691,2.127
0.05,30921,1.707,0.0189,3,0.027,1.765
0.14,28981,1.697,0.0363,9,0.087,1.816
0.24,27993,1.709,0.0592,13,0.149,1.888
0.33,25843,1.688,0.0777,19,0.15,1.867
0.43,24870,1.788,0.1124,22,0.209,2.024
0.52,23585,1.668,0.1304,26,0.249,1.946
0.62,19835,1.559,0.1704,38,0.462,2.054
0.71,18068,1.603,0.2195,44,0.479,2.114
0.81,10595,1.411,0.1811,67,0.669,2.109
0.9,12107,1.431,0.2295,62,0.649,2.109
0.05,31383,1.716,0.0184,2,0.02,1.767
0.14,29450,1.726,0.04,8,0.061,1.818
0.24,28516,1.736,0.0609,11,0.136,1.902
0.33,25786,1.688,0.0783,19,0.168,1.889
0.43,24577,1.787,0.1085,23,0.226,2.043
0.52,21450,1.601,0.1427,33,0.309,1.938
0.62,21157,1.624,0.178,34,0.411,2.064
0.71,18574,1.653,0.2261,42,0.453,2.135
0.81,15286,1.528,0.2558,52,0.587,2.144
0.9,8934,1.359,0.1746,72,0.709,2.102
0.05,30976,1.606,0.0187,3,0.027,1.671
0.14,29192,1.661,0.0397,9,0.065,1.764
0.24,27132,1.643,0.0589,15,0.113,1.795
0.33,25960,1.594,0.0824,19,0.15,1.782
0.43,24099,1.66,0.1049,25,0.293,1.99
0.52,23400,1.531,0.1489,27,0.27,1.835
0.62,21389,1.441,0.1728,33,0.339,1.811
0.71,15109,1.391,0.1784,53,0.555,1.977
0.81,13392,1.536,0.2116,58,0.61,2.176
0.9,8347,1.343,0.163,74,0.71,2.082
0.05,31134,1.615,0.02,3,0.028,1.685
0.14,29590,1.673,0.0444,8,0.06,1.773
0.24,27367,1.65,0.0558,14,0.108,1.799
0.33,26489,1.605,0.0807,17,0.136,1.781
0.43,23953,1.688,0.11,25,0.235,1.963
0.52,22855,1.638,0.1387,29,0.276,1.948
0.62,21722,1.531,0.1918,32,0.347,1.907
0.71,16042,1.42,0.2039,50,0.535,1.984
0.81,15250,1.522,0.2567,52,0.578,2.129
0.9,11416,1.456,0.2295,64,0.655,2.141
